2017-11-29 00:42:39,b'RT @wizcounts: UNDER 15 DOLLARS! For this awesome #wonderwoman  shirt. Get it while its #hot\n\nBuyat - https://t.co/5OGZ31ZhYl \n\nRT for a ch\xe2\x80\xa6'
2017-11-29 00:42:39,b'RT @MusicAzUS: Hot New Releases in Blues\n#10: King Of The Boogie [5 CD] ~ John Lee Hooker \nhttps://t.co/yxVWuP119y #Blues https://t.co/0zFu\xe2\x80\xa6'
2017-11-29 00:42:36,"b'We love everything to do with pets, If you feel the same way you might want to take a look at this!\xe2\x80\xa6 https://t.co/gr7Pt1jTtg'"
2017-11-29 00:42:33,b'RT @YogaLoveShop: Baleaf Grip Toeless Yoga Pilates Barre Socks https://t.co/CyxXPd6fEA #Yogi #namaste #yogini https://t.co/PPxMQbTsfe'
2017-11-29 00:42:31,b'RT @YahooFinance: Goldman Sachs just gave Amazon its most bullish price target yet $AMZN https://t.co/aL0bbx8DKe https://t.co/JoOYBnIpr3'
2017-11-29 00:42:30,b'The Science of the Paranormal\n When the Dead Speak the Art &amp; Science of Paranormal Investigation  Amazon &amp; Kindle\xe2\x80\xa6 https://t.co/vdgCBxe6AV'
2017-11-29 00:42:29,b'RT @Benefry: Angela J. Ford-\xe2\x80\x9cThe Blended Ones\xe2\x80\x9d-Hundred Years of Salvation #fantasy #IARTG @aford21 https://t.co/8JY6e2VOTw'
2017-11-29 00:42:29,b'Cabidor Mirrored Storage Cabinet: Home Improvement  https://t.co/8MRhnvqK5q  #Bed #Bath https://t.co/ojyni5V1uL'
2017-11-29 00:42:27,b'RT @premium_indie: RT Hop on a roller coaster ride!\n3rd Runner Up UK Novel Writing Competition 2017\n\xf0\x9f\x92\xa5 https://t.co/tWZ5yHcNxU\n#Mystery \n@ke\xe2\x80\xa6'
2017-11-29 00:42:26,b'finished Pause to Rewind by Aimee Alexander https://t.co/KA95rATmu9'
2017-11-29 00:42:18,b'RT @SierraKummings: Look at this gorgeous teaser the talented @ReneFolsom made for me \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d Are you all ready for my upcoming release? https:/\xe2\x80\xa6'
2017-11-29 00:42:16,b'Check out this Amazon deal: Anime Doodle Girls: Coloring Book (Doodle Col... by Jenny Luan https://t.co/c07D71svmP via @amazon'
2017-11-29 00:42:15,b'RT @AWS_Partners: Miss the Global Partner Summit at #reinvent? Here\xe2\x80\x99s a quick summary of what was announced: https://t.co/2hGkDxwmxz https:\xe2\x80\xa6'
2017-11-29 00:42:13,b'RT @SierraKummings: Look at this gorgeous teaser the talented @ReneFolsom made for me \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d Are you all ready for my upcoming release? https:/\xe2\x80\xa6'
2017-11-29 00:42:13,"b'RT @amazonmusic: .@LittleMix is doing big things! Get the party started w/ ""Is Your Love Enough"" on our #HotSingles mix. \xf0\x9f\x94\xa5 https://t.co/fbH\xe2\x80\xa6'"
2017-11-29 00:42:12,"b'RT @M_P_Matthews: The more I seek You, the more I find You... https://t.co/AdId6tw0Kt #cr4u #asmsg #iartg #bookboost https://t.co/ayX9BiAYLW'"
2017-11-29 00:42:10,"b'#Superhero #Sidekicks get sick and tired of being disrespected by the heroes that they work for, so they go on STRI\xe2\x80\xa6 https://t.co/l4pUMxIHOL'"
